auto_accept;created_at;delivery_enabled;delivery_fee_flat;delivery_min_order;delivery_radius_km;dine_in_enabled;dine_in_payment_modes;dine_in_requires_table;kitchen_prep_minutes;store_id;tables;takeaway_enabled;takeaway_min_phone_only;takeaway_payment_modes;updated_at
false;2026-05-19 18:10:14.659742+00;true;0;0;0;true;"[""cash""]";true;20;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;[];true;true;"[""razorpay"",""cash""]";2026-05-19 19:02:15.330302+00
false;2026-06-22 08:59:14.067253+00;true;0;0;0;true;"[""cash""]";true;20;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3;[];false;true;"[""razorpay"",""cash""]";2026-06-22 08:59:14.067253+00
