commission_amount;commission_rate;created_at;gmv_amount;id;invoice_id;order_id;plan;status;store_id;updated_at
4.36;3.00;2026-06-02 10:05:40.112921+00;145.24;8087c6ab-aa60-47ce-92a2-5154f0d993ab;;6d23a7f9-b739-4ab9-a7e0-5ee3a8c6c6d7;free;accrued;17fc6fa6-1d54-4bd9-9795-39ff472f151c;2026-06-02 10:05:40.112921+00
37.49;1.00;2026-06-29 06:47:28.504523+00;3749.00;9494b842-64e1-4d4e-8450-55dfd922de62;3d495511-df80-4890-8c46-3c4a9a6da7ee;bc280000-7919-4268-bb07-a659416528ad;growth;invoiced;6cdeb4fd-d936-4241-bf7d-f3843048a703;2026-07-01 02:00:03.763721+00
160.47;1.00;2026-06-29 06:58:54.313266+00;16047.00;5b373f4c-c6a6-4ab0-8267-1994e7b5ea82;3d495511-df80-4890-8c46-3c4a9a6da7ee;22663c65-b6de-4b21-8820-c9d770270d3c;growth;invoiced;6cdeb4fd-d936-4241-bf7d-f3843048a703;2026-07-01 02:00:03.763721+00
3.57;3.00;2026-07-15 06:34:54.548219+00;119.00;159287b3-dcae-4470-abd4-fb0465ad0d9a;;ba3d3834-2ba8-4ea8-8f24-3036849ec02f;free;accrued;a1766301-4cb4-4d3c-8f7f-ebdb87b3668b;2026-07-15 06:34:54.548219+00
3.57;3.00;2026-07-15 07:47:11.64901+00;119.00;3fcf4ff1-913b-4dce-a265-19c19bbada2d;;8875af95-ca01-4b5f-b841-bfd5a7064d32;free;accrued;a1766301-4cb4-4d3c-8f7f-ebdb87b3668b;2026-07-15 07:47:11.64901+00
3.57;3.00;2026-07-15 07:55:29.161101+00;119.00;1b51e483-e90f-4fb5-ba48-4196f9eee2a9;;20e2a231-f4b3-4265-8b51-4a66ac9de10a;free;accrued;a1766301-4cb4-4d3c-8f7f-ebdb87b3668b;2026-07-15 07:55:29.161101+00
