analytics;annual_price_inr;blog;commission_percent;coupons;created_at;custom_domain;display_name;early_access;email_branding;gst_percent;id;is_active;multi_domain;plan;premium_themes;price_inr;product_limit;razorpay_payments;razorpay_plan_id;seo;shipping;signup_bonus_credits;sort_order;theme_limit;trial_days;updated_at
false;0;false;3.0;false;2026-05-03 20:31:52.844459+00;false;Free;false;false;18;b489d4c4-8c89-48e7-9646-4d43dcdb3552;true;false;free;false;0;10;false;;false;false;100;1;1;0;2026-05-19 17:45:16.228142+00
true;5500;true;2;true;2026-05-03 20:31:52.844459+00;true;Starter;false;false;18;78dfa986-12f1-4132-849f-7b629f9cd956;true;false;starter;false;499;100;true;plan_SsfvB0zUdybrBH;true;true;399;2;3;0;2026-06-18 17:06:53.513751+00
true;16500;true;1;true;2026-05-03 20:31:52.844459+00;true;Growth;false;true;18;d6c56fc4-793b-4313-92e3-63dfc28dfece;true;false;growth;true;1499;1000;true;plan_Ssfwu3YURSgIYA;true;true;1499;3;10;14;2026-06-18 17:06:53.513751+00
true;55000;true;0;true;2026-05-03 20:31:52.844459+00;true;Scale;true;true;18;dd36a7a1-e728-4568-b027-c1f7cb54d9ec;true;true;scale;true;4999;2147483647;true;plan_SsfxrfwAVIwcd5;true;true;6000;4;2147483647;0;2026-06-18 17:06:53.513751+00
